#Contains single reference judgments for results from 50 FedWeb14 topics
#snippetID	userID	pagelabel	pageproblem	watchedvideo
FW14-e001-7015-01	judge8	Non	0	0
FW14-e001-7015-02	judge8	Non	0	0
FW14-e001-7015-03	judge8	Non	0	0
FW14-e001-7015-04	judge8	Non	0	0
FW14-e001-7015-05	judge8	Non	0	0
FW14-e001-7015-06	judge8	Non	0	0
FW14-e001-7015-07	judge8	Non	0	0
FW14-e001-7015-08	judge8	Non	0	0
FW14-e001-7015-09	judge8	Non	0	0
FW14-e001-7015-10	judge8	Non	0	0
FW14-e002-7015-01	judge8	Non	0	0
FW14-e002-7015-02	judge8	Non	0	0
FW14-e002-7015-03	judge8	Non	0	0
FW14-e002-7015-04	judge8	Non	0	0
FW14-e002-7015-05	judge8	Non	0	0
FW14-e002-7015-06	judge8	Non	0	0
FW14-e002-7015-07	judge8	Non	0	0
FW14-e002-7015-08	judge8	Non	0	0
FW14-e002-7015-09	judge8	Non	0	0
FW14-e002-7015-10	judge8	Non	0	0
FW14-e005-7015-01	judge8	Non	0	0
FW14-e005-7015-02	judge8	Non	0	0
FW14-e005-7015-03	judge8	Non	0	0
FW14-e005-7015-04	judge8	Non	0	0
FW14-e005-7015-05	judge8	Non	0	0
FW14-e005-7015-06	judge8	Non	0	0
FW14-e005-7015-07	judge8	Non	0	0
FW14-e005-7015-08	judge8	Non	0	0
FW14-e005-7015-09	judge8	Non	0	0
FW14-e005-7015-10	judge8	Non	0	0
FW14-e009-7015-01	judge8	Non	0	0
FW14-e009-7015-02	judge8	Non	0	0
FW14-e009-7015-03	judge8	Non	0	0
FW14-e009-7015-04	judge8	Non	0	0
FW14-e009-7015-05	judge8	Non	0	0
FW14-e009-7015-06	judge8	Non	0	0
FW14-e009-7015-07	judge8	Non	0	0
FW14-e009-7015-08	judge8	Non	0	0
FW14-e009-7015-09	judge8	Non	0	0
FW14-e009-7015-10	judge8	Non	0	0
FW14-e010-7015-01	judge8	Non	0	0
FW14-e010-7015-02	judge8	Non	0	0
FW14-e010-7015-03	judge8	Non	0	0
FW14-e010-7015-04	judge8	Non	0	0
FW14-e010-7015-05	judge8	Non	0	0
FW14-e010-7015-06	judge8	Non	0	0
FW14-e010-7015-07	judge8	Non	0	0
FW14-e010-7015-08	judge8	Non	0	0
FW14-e010-7015-09	judge8	Non	0	0
FW14-e010-7015-10	judge8	Non	0	0
FW14-e011-7015-01	judge8	Non	0	0
FW14-e011-7015-02	judge8	Non	0	0
FW14-e011-7015-03	judge8	Non	0	0
FW14-e011-7015-04	judge8	Non	0	0
FW14-e011-7015-05	judge8	Non	0	0
FW14-e011-7015-06	judge8	Non	0	0
FW14-e011-7015-07	judge8	Non	0	0
FW14-e011-7015-08	judge8	Non	0	0
FW14-e011-7015-09	judge8	Non	0	0
FW14-e011-7015-10	judge8	Non	0	0
FW14-e013-7015-01	judge8	Non	0	0
FW14-e013-7015-02	judge8	Non	0	0
FW14-e013-7015-03	judge8	Non	0	0
FW14-e013-7015-04	judge8	Non	0	0
FW14-e013-7015-05	judge8	Non	0	0
FW14-e013-7015-06	judge8	Non	0	0
FW14-e013-7015-07	judge8	Non	0	0
FW14-e013-7015-08	judge8	Non	0	0
FW14-e013-7015-09	judge8	Non	0	0
