id	content
GX167-94-7279091	INST_servo_driver_temp         1997   1998   1999   2000   2001   2002   2003     2002     001   002   003   004   005   006   007   008   009   010   011   012   013   014   015     016   017   018   019   020   021   022   023   024   025   026   027   028   029   030     031   032   033   034   035   036   037   038   039   040   041   042   043   044   045     046   047   048   049   050   051   052   053   054   055   056   057   058   059   060     061   062   063   064   065   066   067   068   069   070   071   072   073   074   075     076   077   078   079   080   081   082   083   084   085   086   087   088   089   090     091   092   093   094   095   096   097   098   099   100   101   102   103   104   105     106   107   108   109   110   111   112   113   114   115   116   117   118   119   120     121   122   123   124   125   126   127   128   129   130   131   132   133   134   135     136   137   138   139   140   141   142   143   144   145   146   147   148   149   150     151   152   153   154   155   156   157   158   159   160   161   162   163   164   165     166   167   168   169   170   171   172   173   174   175   176   177   178   179   180     181   182   183   184   185   186   187   188   189   190   191   192   193   194   195     196   197   198   199   200   201   202   203   204   205   206   207   208   209   210     211   212   213   214   215   216   217   218   219   220   221   222   223   224   225     226   227   228   229   230   231   232   233   234   235   236   237   238   239   240     241   242   243   244   245   246   247   248   249   250   251   252   253   254   255     256   257   258   259   260   261   262   263   264   265   266   267   268   269   270     271   272   273   274   275   276   277   278   279   280   281   282   283   284   285     286   287   288   289   290   291   292   293   294   295   296   297   298   299   300     301   302   303   304   305   306   307   308   309   310   311   312   313   314   315     316   317   318   319   320   321   322   323   324   325   326   327   328   329   330     331   332   333   334   335   336   337   338   339   340   341   342   343   344   345     346   347   348   349   350   351   352   353   354   355   356   357   358   359   360     361   362   363   364   365         Previous Year                    2002                    Next Year    Back to:    Sort by Telemetry     Long Term Trend   INST_servo_driver_temp
GX000-03-10169452	524
GX000-04-10130356	The EMLIB Whitepages     The EMLIB Whitepages have been removed.     Back to EMLIB Home Page        emstaff@emlib.jpl.nasa.gov  Last modified: 21 February 2002
GX000-40-15234723	Sfc  |   Precip  |   Cloud  |   Sim. Radar  |   700mb  |   500mb  |  Caption       Switch to:   Latest LAPS Analysis         Initialized 09-DEC-2003 1800Z:   +00  |   +01  |   +02  |   +03  |   +04  |   +05  |   +06  |   +07  |   +08  |   +09  |   +10  |   +11  |   +12  |    +13  |   +14  |   +15  |    +16  |   +17  |   +18  |   +19  |   +20  |   +21  |   +22  |   +23  |   +24  |   Animation  |   Run Information          Questions/Comments       FSL Wx  |  LAPB home  |   Analyses  |   Forecasts
GX000-58-0859717	Sfc  |   Precip  |   Cloud  |   Sim. Radar  |   700mb  |   500mb  |  Caption       Switch to:   Latest LAPS Analysis         Initialized 09-DEC-2003 1800Z:   +00  |   +01  |   +02  |   +03  |   +04  |   +05  |   +06  |   +07  |   +08  |   +09  |   +10  |   +11  |   +12  |    +13  |   +14  |   +15  |    +16  |   +17  |   +18  |   +19  |   +20  |   +21  |   +22  |   +23  |   +24  |   Animation  |   Run Information          Questions/Comments       FSL Wx  |  LAPB home  |   Analyses  |   Forecasts
GX000-62-5958257	Sfc  |   Precip  |   Cloud  |   Sim. Radar  |   700mb  |   500mb  |  Caption       Switch to:   Latest LAPS Analysis         Initialized 09-DEC-2003 1800Z:   +00  |   +01  |   +02  |   +03  |   +04  |   +05  |   +06  |   +07  |   +08  |   +09  |   +10  |   +11  |   +12  |    +13  |   +14  |   +15  |    +16  |   +17  |   +18  |   +19  |   +20  |   +21  |   +22  |   +23  |   +24  |   Animation  |   Run Information          Questions/Comments       FSL Wx  |  LAPB home  |   Analyses  |   Forecasts
GX000-67-0717258	Sfc  |   Precip  |   Cloud  |   Sim. Radar  |   700mb  |   500mb  |  Caption       Switch to:   Latest LAPS Analysis         Initialized 09-DEC-2003 1800Z:   +00  |   +01  |   +02  |   +03  |   +04  |   +05  |   +06  |   +07  |   +08  |   +09  |   +10  |   +11  |   +12  |    +13  |   +14  |   +15  |    +16  |   +17  |   +18  |   +19  |   +20  |   +21  |   +22  |   +23  |   +24  |   Animation  |   Run Information          Questions/Comments       FSL Wx  |  LAPB home  |   Analyses  |   Forecasts
GX000-69-8041404	Sfc  |   Precip  |   Cloud  |   Sim. Radar  |   700mb  |   500mb  |  Caption       Switch to:   Latest LAPS Analysis         Initialized 09-DEC-2003 1800Z:   +00  |   +01  |   +02  |   +03  |   +04  |   +05  |   +06  |   +07  |   +08  |   +09  |   +10  |   +11  |   +12  |    +13  |   +14  |   +15  |    +16  |   +17  |   +18  |   +19  |   +20  |   +21  |   +22  |   +23  |   +24  |   Animation  |   Run Information          Questions/Comments       FSL Wx  |  LAPB home  |   Analyses  |   Forecasts
GX000-71-1587366	Sfc  |   Precip  |   Cloud  |   Sim. Radar  |   700mb  |   500mb  |  Caption       Switch to:   Latest LAPS Analysis         Initialized 09-DEC-2003 1800Z:   +00  |   +01  |   +02  |   +03  |   +04  |   +05  |   +06  |   +07  |   +08  |   +09  |   +10  |   +11  |   +12  |    +13  |   +14  |   +15  |    +16  |   +17  |   +18  |   +19  |   +20  |   +21  |   +22  |   +23  |   +24  |   Animation  |   Run Information          Questions/Comments       FSL Wx  |  LAPB home  |   Analyses  |   Forecasts
GX000-71-15863765	Sfc  |   Precip  |   Cloud  |   Sim. Radar  |   700mb  |   500mb  |  Caption       Switch to:   Latest LAPS Analysis         Initialized 09-DEC-2003 1800Z:   +00  |   +01  |   +02  |   +03  |   +04  |   +05  |   +06  |   +07  |   +08  |   +09  |   +10  |   +11  |   +12  |    +13  |   +14  |   +15  |    +16  |   +17  |   +18  |   +19  |   +20  |   +21  |   +22  |   +23  |   +24  |   Animation  |   Run Information          Questions/Comments       FSL Wx  |  LAPB home  |   Analyses  |   Forecasts
GX000-86-5377872	ENDF Incident-Proton Data                This page provides access to incident-proton evaluations first made available with Release 6 of ENDF/B-VI.  Most of these evaluations were generated using the GNASH nuclear model code at Los Alamos in connection with the APT project, and they extend to 150 MeV. For the light targets of interest for fusion studies, the evaluations were generated using the EDA R-matrix code at Los Alamos, and they are limited to lower energies.  The ``raw eval'' links give the original  ENDF-format evaluation, the ``browse eval'' links give a easy-to-read  HTML version of the evaluation, the ``view ps plot'' link connects to  a color Postscript file ready for viewing with ghostscript or printing  on a color printer at high resolution.          Hydrogen       1f    raw_eval   browse_eval   view_ps_plot       2f    raw_eval   browse_eval   view_ps_plot       3l    raw_eval   browse_eval   view_ps_plot       Helium       3    raw_eval   browse_eval   view_ps_plot       Lithium       6l:   raw_eval   browse_eval   view_ps_plot       7l:   raw_eval   browse_eval   view_ps_plot       Beryllium       9l:   raw_eval   browse_eval   view_ps_plot       Carbon       12f   raw_eval   browse_eval   view_ps_plot         Nitrogen       14f:   raw_eval   browse_eval   view_ps_plot       Oxygen       16f:   raw_eval   browse_eval   view_ps_plot       Silicon       28f:   raw_eval   browse_eval   view_ps_plot       29f:   raw_eval   browse_eval   view_ps_plot       30f:   raw_eval   browse_eval   view_ps_plot       Phosphorus       31f:   raw_eval   browse_eval   view_ps_plot       Calcium       40f:   raw_eval   browse_eval   view_ps_plot       Chromium       50f:   raw_eval   browse_eval   view_ps_plot       52f:   raw_eval   browse_eval   view_ps_plot       53f:   raw_eval   browse_eval   view_ps_plot       54f:   raw_eval   browse_eval   view_ps_plot       Iron       54f:   raw_eval   browse_eval   view_ps_plot       56f:   raw_eval   browse_eval   view_ps_plot       57f:   raw_eval   browse_eval   view_ps_plot       Nickel       58f:   raw_eval   browse_eval   view_ps_plot       60f:   raw_eval   browse_eval   view_ps_plot       61f:   raw_eval   browse_eval   view_ps_plot       62f:   raw_eval   browse_eval   view_ps_plot       64f:   raw_eval   browse_eval   view_ps_plot       Copper       63f:   raw_eval   browse_eval   view_ps_plot       65f:   raw_eval   browse_eval   view_ps_plot       Niobium       93f:   raw_eval   browse_eval   view_ps_plot       Tungsten       182f:   raw_eval   browse_eval   view_ps_plot       183f:   raw_eval   browse_eval   view_ps_plot       184f:   raw_eval   browse_eval   view_ps_plot       186f:   raw_eval   browse_eval   view_ps_plot       Mercury       196l:   raw_eval   browse_eval   view_ps_plot       198l:   raw_eval   browse_eval   view_ps_plot       199l:   raw_eval   browse_eval   view_ps_plot       200l:   raw_eval   browse_eval   view_ps_plot       201l:   raw_eval   browse_eval   view_ps_plot       202l:   raw_eval   browse_eval   view_ps_plot       204l:   raw_eval   browse_eval   view_ps_plot       Lead       206f:   raw_eval   browse_eval   view_ps_plot       207f:   raw_eval   browse_eval   view_ps_plot       208f:   raw_eval   browse_eval   view_ps_plot          Custom Plots of Proton Data           Custom 2D and 3D plots of the incident-proton data can be made using the  Nuclear Data Viewer .           31 December 2001   ryxm@lanl.gov
GX000-86-7392219	Temperature Analysis (with RASS)                                    Slide 1 of 6
